"Link","Manufacturer","Name","Author","Date","Connection","Features","Gammu-Version"
"http://cihar.com/gammu/phonedb/nokia/3157/","Nokia","6125","","Tue, 01 Sep 2009 15:07:52 +0200","bluephonet","info,phonebook,enhancedphonebook,calendar,todo","Gammu 1.24.0"
"http://cihar.com/gammu/phonedb/nokia/3156/","Nokia","RM-325","Tuci Kázmér","Tue, 01 Sep 2009 14:54:29 +0200","bluephonet","info,sms,phonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3155/","Sony Ericsson","FWT G3x Series","Chris Mackerell","Mon, 31 Aug 2009 07:25:50 +0200","at115200","sms","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/nokia/3154/","Nokia","3110c","estevanius","Mon, 31 Aug 2009 01:09:18 +0200","at19200","info,phonebook,enhancedphonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/lg/3153/","LG","<KP210>","artesão das ervas","Sun, 30 Aug 2009 17:39:54 +0200","at","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3152/","Nokia","e71","Ahmad Amr","Sun, 30 Aug 2009 14:24:41 +0200","","","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/samsung/3151/","Samsung","SGH-E 740","pavel","Sun, 30 Aug 2009 12:45:42 +0200","blueobex","info,filesystem,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3150/","Nokia","6070","","Sun, 30 Aug 2009 07:38:53 +0200","irdaphonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/nokia/3149/","Nokia","6070","","Sun, 30 Aug 2009 07:37:46 +0200","phonetblue","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/apple/3148/","Apple","iPhone","onur uyullu","Sat, 29 Aug 2009 21:50:07 +0200","phonetblue","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/lg/3147/","LG","MTK2","sm","Sat, 29 Aug 2009 20:06:09 +0200","at19200","info,sms,phonebook,enhancedphonebook,call","Gammu 1.20.0"
"http://cihar.com/gammu/phonedb/nokia/3146/","Nokia","6070","","Sat, 29 Aug 2009 12:46:08 +0200","irdaphonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.19.0"
"http://cihar.com/gammu/phonedb/nokia/3145/","Nokia","5130","","Sat, 29 Aug 2009 12:45:11 +0200","bluephonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.19.0"
"http://cihar.com/gammu/phonedb/lg/3144/","LG","KU990i","myrtille","Fri, 28 Aug 2009 12:20:14 +0200","at","info","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3143/","Sony Ericsson","T650i","","Fri, 28 Aug 2009 00:56:18 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3142/","Nokia","2630","Vineeth Kumar T","Thu, 27 Aug 2009 19:07:59 +0200","bluephonet","info,phonebook,enhancedphonebook,calendar,todo","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/lg/3141/","LG","U8360","","Thu, 27 Aug 2009 16:53:50 +0200","irdaphonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/nokia/3140/","Nokia","5310","Mrazik Tamas","Thu, 27 Aug 2009 11:59:20 +0200","bluephonet","phonebook","Gammu 1.15.0"
"http://cihar.com/gammu/phonedb/nokia/3139/","Nokia","6085","Eric","Thu, 27 Aug 2009 03:24:21 +0200","dku2phonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call","Gammu gammu+.40.2"
"http://cihar.com/gammu/phonedb/nokia/3138/","Nokia","6021","Трубицын Александр Валентинович","Wed, 26 Aug 2009 15:49:56 +0200","bluephonet","info,sms","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/lg/3137/","LG","<KP210>","artesão das ervas","Wed, 26 Aug 2009 02:31:10 +0200","at","info,sms,phonebook,enhancedphonebook,calendar,filesystem,call,logo,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3136/","Nokia","E51","Lenwe Tasartir","Wed, 26 Aug 2009 00:48:43 +0200","at115200","info,sms",""
"http://cihar.com/gammu/phonedb/huawei/3135/","Huawei","e160e","Artaud","Tue, 25 Aug 2009 19:25:58 +0200","at19200","info,sms","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/motorola/3134/","Motorola","V3r","Crasher","Tue, 25 Aug 2009 15:57:49 +0200","blueat","info,sms,phonebook,call","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3133/","Sony Ericsson","Z530i/Z530c","Valdas","Tue, 25 Aug 2009 09:12:04 +0200","at","info,phonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3132/","Nokia","6230i","Christoph Berliner","Mon, 24 Aug 2009 18:10:49 +0200","bluephonet","info,sms,phonebook,calendar,todo,call","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/nokia/3131/","Nokia","6230i","Christoph Berliner","Mon, 24 Aug 2009 17:55:46 +0200","dku2phonet","info,sms,phonebook,call","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/nokia/3130/","Nokia","RM-305","","Mon, 24 Aug 2009 12:29:39 +0200","fbus","info,phonebook,enhancedphonebook,calendar,todo","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/motorola/3129/","Motorola","razr v3","","Sun, 23 Aug 2009 23:28:35 +0200","","",""
"http://cihar.com/gammu/phonedb/samsung/3128/","Samsung","m 310","","Sat, 22 Aug 2009 21:23:56 +0200","blueat","sms,phonebook",""
"http://cihar.com/gammu/phonedb/nokia/3127/","Nokia","6120C","fadwa naamna","Sat, 22 Aug 2009 19:53:40 +0200","","",""
"http://cihar.com/gammu/phonedb/motorola/3126/","Motorola","L6","","Sat, 22 Aug 2009 19:44:55 +0200","bluerfat","info,sms,filesystem,call","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3125/","Sony Ericsson","W300i/W300c","I.I.E. Miguel Montiel Martinez","Sat, 22 Aug 2009 18:18:02 +0200","at19200","info,sms,calendar","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3124/","Sony Ericsson","K530i","Marek Klein","Sat, 22 Aug 2009 16:41:28 +0200","at19200","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3123/","Nokia","N95","","Sat, 22 Aug 2009 11:02:46 +0200","at115200","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/samsung/3122/","Samsung","GT-E1410","Prabhakaran","Fri, 21 Aug 2009 17:38:35 +0200","at19200","info","Gammu 1.23.92"
"http://cihar.com/gammu/phonedb/nokia/3121/","Nokia","6303 classic","Matthias Bechmann","Fri, 21 Aug 2009 11:44:29 +0200","bluephonet","info,calendar","Gammu 1.24.0"
"http://cihar.com/gammu/phonedb/alcatel/3120/","Alcatel","OT S320","Gromain","Thu, 20 Aug 2009 16:13:25 +0200","blueat","info,sms,phonebook,enhancedphonebook",""
"http://cihar.com/gammu/phonedb/nokia/3119/","Nokia","6310i","Kellimtai","Thu, 20 Aug 2009 10:47:11 +0200","bluerfphonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3118/","Nokia","6070","Prevision","Thu, 20 Aug 2009 03:47:08 +0200","fbuspl2303","info,sms,phonebook,calendar,todo","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3117/","Nokia","RM-392","Vitor Paese","Wed, 19 Aug 2009 03:24:45 +0200","fbusdlr3","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/lg/3116/","LG","<KP210>","pedro g bianco","Tue, 18 Aug 2009 17:44:27 +0200","at","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/lg/3115/","LG","<KP210>","pedro g bianco","Tue, 18 Aug 2009 17:43:34 +0200","at","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3114/","Sony Ericsson","C905","Magnus Glantz","Tue, 18 Aug 2009 15:18:24 +0200","blueat","info,sms,phonebook,enhancedphonebook,calendar,todo,call,mms","Gammu 1.23.92"
"http://cihar.com/gammu/phonedb/samsung/3113/","Samsung","M310","","Mon, 17 Aug 2009 17:23:24 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3112/","Nokia","3230","danang","Mon, 17 Aug 2009 14:45:43 +0200","at19200","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/nokia/3111/","Nokia","2630","Brian","Mon, 17 Aug 2009 14:02:27 +0200","bluephonet","sms,phonebook,call","Gammu 1.23.92"
"http://cihar.com/gammu/phonedb/lg/3110/","LG","Kg800","asl heller","Mon, 17 Aug 2009 04:45:19 +0200","","",""
"http://cihar.com/gammu/phonedb/lg/3109/","LG","Kg800","asl heller","Mon, 17 Aug 2009 04:41:21 +0200","","","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/huawei/3108/","Huawei","E156G","sultan","Mon, 17 Aug 2009 04:27:22 +0200","","","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/lg/3107/","LG","Kg800","asl heller","Mon, 17 Aug 2009 03:52:32 +0200","","","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/zte/3106/","ZTE","MF626","","Sun, 16 Aug 2009 17:16:33 +0200","at","info,sms",""
"http://cihar.com/gammu/phonedb/lg/3105/","LG","ku250","pedro","Sun, 16 Aug 2009 10:33:50 +0200","","","Gammu 0.29"
"http://cihar.com/gammu/phonedb/samsung/3104/","Samsung","SGH-i600","Cristian","Thu, 13 Aug 2009 20:37:34 +0200","","",""
"http://cihar.com/gammu/phonedb/sony-ericsson/3103/","Sony Ericsson","K790i/K790c","Suresh.P","Thu, 13 Aug 2009 18:41:02 +0200","blueat","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/nokia/3102/","Nokia","3100","","Thu, 13 Aug 2009 17:53:49 +0200","fbuspl2303","info,sms,phonebook,enhancedphonebook,calendar","Gammu 1.15.0"
"http://cihar.com/gammu/phonedb/samsung/3101/","Samsung","SGH-D900","","Tue, 11 Aug 2009 22:16:21 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3100/","Nokia","3109c","luis","Tue, 11 Aug 2009 19:48:50 +0200","at115200","info,sms,phonebook,call","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3099/","Sony Ericsson","TM506","Nasir","Tue, 11 Aug 2009 14:29:47 +0200","blueat","info,sms,phonebook,calendar,todo,call","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/huawei/3098/","Huawei","E160G","","Tue, 11 Aug 2009 01:10:58 +0200","at115200","info,sms,phonebook,mms","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/motorola/3097/","Motorola","V360","CARLOS KANAREK","Mon, 10 Aug 2009 21:23:56 +0200","","","Gammu 0.25,"
"http://cihar.com/gammu/phonedb/nokia/3096/","Nokia","6340i","gautam","Mon, 10 Aug 2009 18:43:55 +0200","fbuspl2303","info,sms,phonebook","Gammu 1.09"
"http://cihar.com/gammu/phonedb/nokia/3095/","Nokia","6300","albert","Mon, 10 Aug 2009 17:27:01 +0200","at19200","info,phonebook","Gammu 1.15.0"
"http://cihar.com/gammu/phonedb/nokia/3094/","Nokia","6300","","Mon, 10 Aug 2009 15:17:20 +0200","","",""
"http://cihar.com/gammu/phonedb/samsung/3093/","Samsung","E250","hemant","Sun, 09 Aug 2009 05:12:31 +0200","at115200","info,phonebook","Gammu 1.13.0"
"http://cihar.com/gammu/phonedb/nokia/3092/","Nokia","E90","","Fri, 07 Aug 2009 19:26:13 +0200","at115200","",""
"http://cihar.com/gammu/phonedb/sony-ericsson/3091/","Sony Ericsson","C702","Arthur Buliva","Fri, 07 Aug 2009 11:59:49 +0200","at19200","info,sms,phonebook,calendar,todo,call","Gammu 1.20.0"
"http://cihar.com/gammu/phonedb/nokia/3090/","Nokia","6170","jenz","Fri, 07 Aug 2009 10:51:29 +0200","at19200","sms,phonebook,enhancedphonebook,call","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3089/","Nokia","3110c","arjunpalariya","Fri, 07 Aug 2009 09:33:17 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3088/","Nokia","2760","jay","Thu, 06 Aug 2009 05:10:41 +0200","bluephonet","info,phonebook,calendar,todo","Gammu 1.21.0"
"http://cihar.com/gammu/phonedb/nokia/3087/","Nokia","e66","Adeel Shahzad","Thu, 06 Aug 2009 00:57:02 +0200","","",""
"http://cihar.com/gammu/phonedb/huawei/3086/","Huawei","E220","","Wed, 05 Aug 2009 16:21:17 +0200","at19200","info,sms,phonebook,mms",""
"http://cihar.com/gammu/phonedb/samsung/3085/","Samsung","SGH-U900","Guido","Wed, 05 Aug 2009 10:46:56 +0200","at115200","info,sms,phonebook,enhancedphonebook,call","Gammu 1.22.1"
